,src,coronavirus,length
146,"CLINICAL CASE: The case is presented of a 56 year-old patient diagnosed with rhegmatogenous retinal detachment and on treatment with hydroxychloroquine (HCQ). A Spectral Domain-Optical Coherence Tomography (SD-OCT) was performed that showed changes in the outer retina in the eye with macular detachment, as well as the <<flying saucer>> sign in the other eye. After a complete retinopexy the <<flying saucer>> sign was still present. DISCUSSION: SD-OCT could be used as a test in order to reveal HCQ toxicity in the event of retinal detachment. In this case, this technique shows abnormalities such as a hyper-reflective line in the outer retina layers.",0,654
147,"Orthotopic cardiac retransplantation is used to treat transplanted cardiac graft end-stage failure. We present the first case of successful elective cardiac retransplantation in Mexico. It was a 25-year old male with heart transplantation who developed graft-resistant chronic vasculopathy. He underwent elective retransplantation in September 2017; complications during postoperative evolution were treated with favorable response. He was discharged owing to improvement at four weeks postoperatively. It is concluded that in adequately selected cases and comprehensively assessed, cardiac retransplantation is an appropriate option to treat cardiac graft failure.",0,665
148,"Dengue is the disease transmitted by arthropods of major importance in public health; however its presence in the neonatal stage is poorly studied, with few cases described worldwide. We present the case report of a neonate who started illness at 12 days of age, characterized by fever and irritability. He was hospitalized for suspicion of neonatal sepsis; later he presented thrombocytopenia and due the antecedent of his mother with diagnosis of dengue after childbirth, dengue tests were obtained in the neonate, resulting positive, then support treatment and fluid treatment is performed, with subsequent recovery. Dengue in the neonatal stage should always be suspected in areas where the disease is endemic and management guides should be proposed.",0,755
149,"BACKGROUND: The most common manifestation of MEN 1 syndrome is primary hyperparathyroidism (PHPT) with parathyroid multiglandular affectation. The intrathyroidal situation represents 3-4% of all glands, and it is the second most frequent location in the cervical ectopias. CLINICAL CASE: 11 year old patient, with a family history of MEN1 syndrome and carrier of this same mutation. Patient presents HPTP with osteopenia. The cervical ultrasound shows three compatible images with pathological parathyroid glands (bilateral lower and upper left). The Scan and MRI are normal. Bone densitometry displays data on osteopenia. The patient is surgically intervened, only the upper parathyroid glands are located and removed, after this implantation is performed on the forearm, to prevent the possible devascularization in the dissection of the other glands. However, osteopenia persists and an elevated PTH, therefore new diagnostic tests are held which seem to show two lower parathyroid glands with intrathyroidal location. The patient is reoperated. A subtotal parathyroidectomy of the lower right gland and the resection of the left gland is performed, with the use of intraoperative ultrasound and placement of harpoon. The intraoperative pathology study confirms parathyroid tissue in both cases. DISCUSSION: It is necessary to locate the parathyroid glands preoperatively in order to alert us of the existence of topographical and ectopia abnormalities, as well as their intrathyroidal location (0.5-3.6%). CONCLUSION: The intraoperative ultrasound can be a complement to the experience of the endocrine surgeon for the localization of the parathyroid glands and therefore can help determine the best surgical strategy for each clinical case.",0,1745
150,"We report the case of a 94-year-old woman with Bouveret's syndrome, where endoscopic treatment was performed. Bouveret's syndrome is a gastric outlet obstruction due to gallstone impaction within the duodenum. It is the least frequent presentation of gallstone ileus. Gallstone ileus is a complication of cholelithiasis and has a high morbidity and mortality. Therefore, it requires an early diagnosis and urgent treatment, which is usually surgical. The peculiarity of this case is that we obtained the full resolution of the symptoms by endoscopic treatment in an elderly patient with high surgical risk.",0,606
151,"The dermoscopic island is described as a well-defined area in a melanocytic lesion, with a different dermoscopic pattern from the rest of the lesion. It is predictive of melanoma, particularly when the pattern of the island is atypical. We present the reflectance confocal microscopy (RCM) findings in 3 lesions with dermoscopic islands: nevus-associated melanoma, melanocytic nevus, and in situ melanoma. The nevus-associated melanoma and in situ melanoma presented cellular atypia (atypical cells in isolation or forming nests) and architectural distortion on RCM. The nevus presented a dermoscopic island with a typical globular pattern with dense nests and no atypia on RCM. Dermoscopic island is mainly associated with in situ and nevus-associated melanomas. RCM offers good cellular resolution to the depth of the reticular dermis and is useful for diagnosing of melanomas presenting a dermoscopic island.",0,911
152,"CLINICAL CASE: An 8 year-old boy with no known diseases, with sudden loss of visual acuity (VA) in the left eye (LE). EXAMINATION: VA 1 in right eye, and 0.1 in LE, discrete left relative afferent pupil defect (RAPD). Normal biomicroscopy. Funduscopy: congestive papilla, venous tortuosity, peripapillary haemorrhages with macular oedema in LE. The systemic study only revealed A C46Tpolymorphism in the F12 coagulation gene. He had a VA of 1 and normal funduscopy 8 months later. DISCUSSION: Papillophlebitis is an inflammatory and non-ischaemic central retinal vein occlusion, ophthalmoscopically similar to central retinal vein thrombosis. The systemic study is essential to rule out underlying diseases.",0,707
153,"INTRODUCTION: Gelastic seizures are infrequent epileptic seizures in which the main manifestation is inappropriate laughter. They have a variety of causations. A search of the literature did not reveal any cases of pathological laughter that was clearly related with strokes, although there a numerous reports of non-epileptic pathological laughter as a prodromal symptom in stroke patients (fou rire prodromique). We report the case of a patient with infarcted cingulate gyrus who progressed with gelastic seizures at onset and during the course of the clinical process. CASE REPORT: An 81-year-old female who suddenly presented bouts of difficulties in verbal expression with disconnection from the milieu that were accompanied by fits of unmotivated and uncontrollable laughter that lasted less than five minutes. Following the attacks, her level of consciousness had dropped. In some of the attacks there were also involuntary movements of the upper limbs. Resonance imaging revealed the existence of an acute ischaemic lesion in the left territory of the cingulate gyrus and an electroencephalogram revealed the existence of epileptogenic activity in the left-hand anterior temporal and frontal regions. CONCLUSIONS: The clinical profile, the results of the complementary examinations and the response to the antiepileptic treatment allow us to state that in the episode reported in this patient we are dealing with gelastic seizures related to an acute ischaemic lesion in the left cingulate gyrus.",0,1504
154,"Schwannomas are nerve sheath tumours that originate in Schwann cells. They are usually solitary and sporadic and manifest on peripheral, spinal or cranial nerves. Intracranial schwannomas tend to manifest on the eighth cranial nerve, particularly in patients with neurofibromatosis type2. Anterior skull-base schwannomas represent less than 1% of all intracranial schwannomas. They are more frequent in young people and are typically benign. These tumours represent a diagnostic challenge due to their rarity and difficult differential diagnosis, and numerous theories have been postulated concerning their origin and development. In this article, we present the case of a 13-year-old male with a single anterior cranial-base tumour not associated with neurofibromatosis who presented with headache, papilloedema, eye pain and loss of visual acuity. Complete resection of the tumour was performed, which was histopathologically diagnosed as a schwannoma. The patient made a complete clinical recovery with abatement of all symptoms. We conducted a review of the literature and found 66 cases worldwide with this diagnosis. We describe the most relevant epidemiological and clinical characteristics of this kind of tumour and its relation with the recently discovered and similar olfactory schwannoma.",0,1300
155,"Trichorhinophalangeal syndrome type II (TRPSII) (synonym: Langer-Giedon syndrome) is a rare autosomal dominant contiguous gene syndrome, resulting from a microdeletion encompassing the EXT1 and the TRPS1 gene at 8q24 (MIM#150230). This syndrome combines the clinical features of two autosomal dominant disorders, trichorhinophalangeal syndrome type I (MIM#190350) and hereditary multiple osteochondromas type I (MIM # 133700). TRPSII is characterized by sparse scalp hair, a long nose with a bulbous tip, long flat philtrum, cone-shaped epiphyses of the phalanges, retarded bone age in infancy and multiple cartilaginous osteochondromas. We report a Turkish patient who had the clinical features and skeletal signs of TRPSII in whom a 13.8Mb deletion in 8q23.1- 8q24.13 was detected.",0,783
156,"We present a 9-year-old girl who suffered a posterior dislocation of the right elbow with a proximal translocation between the ulna and the radius. It is a type of exceptional dislocation which in our case was not accompanied by lesions of the joint surfaces of the elbow unlike most cases already published. This article stresses the importance of making an early diagnosis of this variety of dislocation; this is the best way to prevent it from going unnoticed. The use of Computed Tomography (CT) helped this early diagnosis, enabling an immediate closed orthopaedic reduction and achieving a cure without sequelae.",0,618
157,"CASE REPORT: The case involves a 35-year-old man, with a history of retinitis pigmentosa, who presented with a bilateral cystoid macular oedema associated with bilateral epiretinal membrane, which was resistant to treatment with oral acetazolamide and intravitreal bevacizumab. The treatment with oral eplerenone was able to improve the visual acuity and macular thickness of this patient. DISCUSSION: A variety of treatments have been proposed for the management of cystoid macular oedema, associated with retinitis pigmentosa, with variable results. The treatment with oral eplerenone might be a good option for the control of this condition.",0,644
158,"Boerhaave's syndrome is a spontaneous rupture of the oesophagus, caused by an increase of intraluminal pressure that is produced in the context of negative intrathoracic pressure. It has a high index of morbimortality (14-40%), which is why it requires early diagnosis and treatment. When a patient presents vomiting, the differential diagnosis should include epigastric pain. Para-esophageal hiatal hernias can be complicated by gastric volvulus. In its turn, this can produce both oesophageal and gastric necrosis requiring early surgical treatment. We describe the case of an 83-year-old patient who presented gastric volvulus with complications from a hiatal hernia with associated vomiting, which triggered Boerhaave s syndrome. This is the second case published in the literature. Key words. Boerhaave s syndrome. Gastric volvulus. Surgical treatment.",0,857
159,"The use of home parenteral nutrition (HPN) in patients who can not obtain their nutritional requirements by the enteral route is increasing in recent years, allowing normalization lifestyle of patients. Neoplasm and mesenteric ischaemia are some of the diseases that most frequently require HPN in Spain. However, HPN is one of the cornerstones of the treatment of much less frequent illnesses as in the case of encapsulating peritoneal sclerosis. We present the case of a patient with encapsulating peritoneal sclerosis and HPN support for more than 7 years with a peripherally inserted central catheter (PICC) for over 6 years without complications and the autonomy to perform his normal business activity. Given the exceptional nature of the case we refer it to its publication.",0,781
160,"We have used a new device to prevent pulmonary embolism during pharmacomechanical thrombectomy in a 25-year-old postpartum woman. The Angel(R) catheter (BiO2 Medical Inc., Golden, CO, USA) is a temporary device that combines the functions of a vena cava filter (VCF) with those of a triple-lumen central venous catheter. Normally, a VCF is implanted to prevent pulmonary embolism during pharmacomechanical thrombectomy. However, the complications associated with VCFs increase with time, not all of the filter can always be retrieved, and there can be iatrogenic effects both during implantation and retrieval. In our experience, this new device is much simpler to deploy and to retrieve. As is shown in this case, this temporary device can be an interesting alternative to a VCF for preventing pulmonary embolisms during pharmacomechanical thrombectomy.",0,854
161,"INTRODUCTION: Acrodermatitis enteropathica is a low-incidence disease due to inherited or acquired zinc deficiency. It is characterized by acral dermatitis, alopecia, diarrhea and growth retardation. The dermatological condition may mimic a cutaneous fungal infection or other pathogen-related skin diseases. CASE REPORT: We report the case of a female patient of 7 months of age, who was sent to Centro Medico Nacional 20 de Noviembre for suspicion of immunodeficiency and cutaneous mycosis. Her condition began with dermatosis disseminated to the head, trunk and genital region; initial treatment with antifungal and broad spectrum antibiotics was given, without improvement. Upon admission, immunodeficiency and fungal infection were discarded. Acrodermatitis enteropathica was suspected, and corroborated later by low serum zinc levels. Immediately after the start of oral treatment with zinc, the patient showed improvement. CONCLUSIONS: There are multiple differential diagnoses of acrodermatitis enteropathica, which includes cutaneous infections. Therefore, the early recognition of the characteristic lesions favors suspicion, diagnosis and appropriate treatment.",0,1172
162,"OBJECTIVE: To report two new cases of IgG4-related retroperitoneal fibrosis, a recently described pathology. METHODS: We analyze two cases diagnosed in our center and performed a literature review. RESULT: IgG4 related disease is a recently described entity that includes previously not related pathologies. The clinical manifestations are highly variable and its presentation is usually subacute. The treatment of choice is glucocorticoids. In our first case the outcome was favorable with corticosteroids and azathioprine. However, the second case required surgery on 2 occasions with radical nephrectomy. The diagnosis of the latter was made nine years after the onset of symptoms when the biopsy was reviewed; at that moment immunosuppressive therapy was not started. CONCLUSIONS: It is very important to know and diagnose this disease because of the good response to treatment that prevents complications.",0,910
163,"INTRODUCTION: MELAS syndrome -myopathy, encephalopathy, lactic acidosis and stroke-like episodes- is a maternally-inherited mitochondrial cytopathy related to several mitochondrial DNA mutations, with the A3243G mutation in tRNA(Leu) gene being the most frequent of them. PATIENTS AND METHODS: Apart from its typical symptomatology, patients usually exhibit a maternally-inherited history of neurosensory deafness and insulin-dependent type 2 diabetes mellitus (T2DM). Recent studies have shown that few patients carrying a A3243G mutation also suffer from renal dysfunction, usually in form of focal segmental glomerulosclerosis (FSGS). RESULTS: In this study we examine kidney involvement in 2 unrelated patients with a A3243G mutation by genetic testing. Both have a maternally-inherited neurosensory deafness and insulin-dependent T2DM. A renal biopsy was performed in both patients. One patient developed nephrotic proteinuria and renal insufficiency, with FSGS findings being observed in the kidney biopsy, whereas the other suffered from mild proteinuria and renal insufficiency, with non-specific glomerular changes. CONCLUSION: The presence of FSGS or other kidney involvement accompanied by hereditary neurosensory deafness and T2DM could be suggestive of a A3243G tRNA(Leu) mutation and should prompt a genetic testing and an evaluation of potential extrarenal involvement.",0,1384
164,"Septic arthritis after knee arthroscopy is an extremely rare condition. A rate of 0.15-0.84% cases of postoperative infection is estimated in several series. The arthroscopy procedure most frequently related with an infectious complication is anterior cruciate ligament (ACL) reconstruction, with a prevalence of 0.3-1.7% cases. Staphylococcus sp. is the pathogen most commonly cultured. We describe a case of septic arthritis after ACL reconstruction. We found no published case of septic arthritis caused by this microorganism after knee arthroscopy. It is probably the first case published in the literature.",0,611
165,"Adult T cell lymphocyte leukemia/lymphoma (ATLL) is a subtype of T-cell lymphoma caused by infection of the human T-cell lymphotropic virus type 1 (HTLV-1); which generates a pro-viral integration into the host DNA, resulting in a clonal expansion of T lymphocytes. We present the case of a 20-year-old woman who developed multiple lymphadenopathies, hepatosplenomegaly and fever, serum positivity for HTLV-1 and proviral integration in the host DNA, demonstrated by polymerase chain reaction (PCR). Immunohistochemistry of lymphoid node was positive to CD4+ and CD8+ T cells. ATLL has been described in all HTLV-1 endemic areas, however, there are differences in the mean age of its presentation in such areas: 40 to 50 years in South America, 60 years in Japan. We showed one of few reported cases of the lymphoma type of ATLL in young adults.",0,845
166,"Hydroxychloroquine is used in the long-term therapy of systemic lupus erythematosus (SLE). Although considered to be a safe treatment, side effects have been documented. An uncommon side effect is thrombocytopenia. In order to establish the diagnosis of thrombocytopenia secondary to Hydroxychloroquine, non-pharmacological causes must be ruled out and it is necessary to determine a recurrence after re-exposure to the drug. We present one case of severe thrombocytopenia occurring in a patient with SLE undergoing treatment with Hydroxychloroquine.",0,550
167,"OBJECTIVES: Urologists daily evaluate many women with voiding disturbances, but proper physical examination has only rarely been previously performed. CASE DESCRIPTION: Case 1: 16-year-old woman presenting augmented daytime urinary frequency and nocturia without enuresis, with drop-by-drop micturition. Case 2: 80-year-old woman with urgency. She referred normal voiding with insensitive urinary loss the hour after. PHYSICAL EXAMINATION: adhesion of the labia minora. TREATMENT: Surgical section of the adhered area in the midline was performed with satisfactory aesthetic and clinical results. CONCLUSIONS: The adhesion of the labia minora is an acquired disease, more frequent in girls under 2 years. Several predisposing factors have been proposed: oestrogen deprivation, inadequate personal care, local irritants, infections or previous trauma. Differential diagnosis is required among three congenital pathologies: vaginal agenesis, imperforated hymen and ambiguous genitalia. Cases in postpubertal or postmenopausal women, or refractory to medical treatment are considered for surgery.",0,1093
168,"Dorsal wrist pain is a very common cause of complaint in the clinical practice of the hand surgeon. Such pain can frequently be related to traumatic, inflammatory or degenerative diseases, but sometimes its origin is far away from these common causes. A rare case is reported of chronic dorsal wrist pain of neuropathic origin, due to a pre-capsular neuroma of the posterior interosseous nerve. Possible causes, diagnostic hints, and treatment options are thoroughly discussed.",0,477
169,"INTRODUCTION: IgG4-related disease is a recently described multisystemic clinical entity that can occur with different clinical manifestations. The most often affected organs are the pancreas, bile duct and salivary glands, with unusual central nervous system affection. CASE REPORT: A 33 year old woman who presented with cognitive impairment, hallucinations, headache, convulsive syndrome, maxillary sinus inflammation with bone involvement and evidence of pachymeningitis and panhypopytuirarism with meningeal biopsy that confirmed IgG4-related disease, after ruling out secondary causes. Treatment was started with steroids and azathioprine without relapses after 12 months follow-up. CONCLUSIONS: IgG4-related disease should be considered in cases of hypertrophic pachymeningitis and hypophysitis especially when no other cause has been found, even if they are not accompanied by other systemic disease manifestations, having ruled out other common causes. The treatment of choice is glucocorticoids and it could be needed to add another immuno-suppressant agent as steroid sparing and to prevent relapses. Prospective studies are needed to evaluate the different clinical and paraclinical manifestations and to establish the results of long-term treatment.",0,1262
170,"INTRODUCTION: Hepatic hemangioendothelioma is a rare benign tumor in children, which frequently occurs in the first year of life. The clinical presentation is variable and the diagnosis is based on clinical suspicion, and laboratory and imaging studies. The objective was to describe a case of multifocal hepa tic hemangioendothelioma. CLINICAL REPORT: 3-month-old girl who presented hepatomegaly without elements of hepatic or heart failure. Abdominal ultrasound and CT scan were used to diagnose hepatic hemangioendothelioma, which was confirmed by CT abdominal angiography. The patient received glucocorticoid treatment at high doses for a prolonged period. A year and a half after treatment, there was evidence of tumor remission. She had side effects from the established treatment. CONCLUSIONS: In asymptomatic patients with isolated hepatomegaly, it should be considered a probable tumor patho logy, considering the clinic and imaging studies. Possible complications and treatments risks must always be assessed. In this case, the tumor extension and its probable complications justified the use of prolonged corticosteroid therapy at high doses despite its adverse effects.",0,1181
171,"BACKGROUND: Primary breast lymphomas, a rare subtype of non-Hodgkin's lymphoma, represent 0.04 to 0.5% of all breast cancers, 0.38 to 0.7% of all lymphomas, and 1.7 to 2.2% of extranodal lymphomas. The treatment choice is based on chemotherapy containing anthracycline and rituximab. Surgery is limited to being less invasive and only for diagnostic purposes. Radiotherapy has an important role as consolidation therapy, particularly in patients with negative nodes. CLINICAL CASE: A 70 year old woman with a breast nodule in the left upper outer quadrant, with slow growth, expansive, painless, and accompanied by skin changes, malaise, weight loss, fatigue, chill, and sweating. There was tissue replacement by the mammary gland tumour, skin changes due to invasion, and a 5cm axillary lymphadenopathy. The mammography showed skin thickening and a dense pattern of 80% of breast tissue replacement, and the lymphadenopathy with loss of radiolucent centre and soft tissue invasion. The biopsy confirmed a diffuse high grade large cell lymphoma. She received an Rituximab (R-CHOP) chemotherapy scheme and radiotherapy with tangential and supraclavicular and axillary fields. After completing the chemotherapy, the patient is on follow-up, and at 15 months she is alive without disease activity. CONCLUSIONS: Primary lymphoma of the breast is a rare entity. Multimodal treatment with combined chemo-radiotherapy is the cornerstone. Surgery is reserved only for diagnostic purposes.",0,1480
172,"This case concerns an elderly man with a REM sleep behavior disorder, who was initially offered a pharmacological treatment with clonazepam, recommended by other articles, but with poor adherence due to its adverse reactions and persistence of symptoms. He was then offered a treatment with Trazodone was offered, achieving a complete remission of symptoms, with no reported side effects. It is clear that Trazodone has no known indication for this type of disorder; nevertheless, it was considered in this case because of its pharmacological profile, obtaining satisfactory results. Further research is needed in order to document thoroughly the mechanisms of action, efficacy and utility of this molecule in cases such as the one presented.",0,742
173,"OBJECTIVES: 1) to set a reminder of the diagnostic approach to osteoid osteomas (OOs) of the foot; 2) to define the indications of treatment for hindfoot OOs. MATERIAL AND METHOD: 5 OOs were checked (3 cases located in the talus and two cases in calcaneus). The diagnosis was established by clinical and imaging data. In all cases, a calcified nidus was identified on CT, perilesional bone oedema on MRI and focal scintigraphic uptake. Two cases were treated with radiofrequency ablation (RFA) and 3 cases with surgical resections: two open surgeries and one arthroscopic surgery. Clinical and oncological outcomes were evaluated at the end of the follow-up. RESULTS: No complications were reported. The clinical outcome was excellent in all cases. One patient was initially treated with open surgery and then subsequently with RFA due to failure of the procedure. There were no recurrences after an average follow-up time of 4 years and 8 months (range, 1-12 years). DISCUSSION: Hindfoot OOs are uncommon and their diagnosis is based on clinical data in conjunction with characteristic imaging findings. Their treatment choices depend on the location of the nidus and relationships with nearby anatomical structures. CONCLUSIONS: The diagnosis of an OO of the hindfoot can be ensured when the epidemiological, clinical and imaging data are compatible with this pathological entity. RFA is indicated for intracortical or cancellous cases in which the nidus is more than 1cm off the skin and significant neurovascular structures. For all other cases an open surgical resection or arthroscopic resection would be the first choice.",0,1628
174,"Intrathecal chemotherapy may be complicated with the development of myelopathies or toxic radiculopathies. This myeloradicular involvement, of toxic character, is unpredictable, since these patients have repeatedly received Intrathecal chemotherapy with the same drugs without apparent injury. The toxic effect should be mainly attributed to Cytarabine and not to methotrexate, since the central nervous system lacks Cytidine deaminase, the enzyme that degrades Cytarabine. We report two patients, an 18-year-old woman and a 16 years old male, who received systemic and intrathecal chemotherapy (methotrexate, cytarabine) for the treatment of an acute lymphoblastic leukemia and developed, in relation to this procedure, a spinal subacute combined degeneration. They had a proprioceptive and motor alteration of the lower extremities and neuroimaging showed selective rear and side spinal cord hyper intensity produced by central axonopathy. Two weeks later the woman developed a quadriplegia and the young man a flaccid paraplegia due to added root involvement.",0,1062
175,"INTRODUCTION AND AIMS: Lynch-like syndrome is diagnosed when there is an expression deficit in DNA mismatch repair proteins but a normal genetic study. The behavior and management of that pathology are currently a subject of debate. We present herein the characteristics of patients with Lynch-like syndrome, together with a surveillance proposal. MATERIALS AND METHODS: Immunohistochemistry was carried out on families suspected of presenting with Lynch syndrome. Germline analysis was done if there was loss of mismatch repair protein expression and no BRAF mutation. RESULTS: Of the 148 patients that underwent immunohistochemistry testing, 23 presented with loss of mismatch repair protein expression. Seven of those patients were identified as having Lynch-like syndrome: 3had colon cancer, 2had endometrial tumor, and 2were healthy, with an affected relative. Mean patient age was 56.9 years and only one patient presented with another tumor associated with Lynch syndrome. CONCLUSIONS: Until there is a better understanding of the etiology of that heterogeneous entity, intermediate surveillance is an adequate strategy.",0,1127
176,"Marantic or nonbacterial thrombotic endocarditis is characterized for the presence of vegetations formed by a meshwork of fibrin and other cellular material similar a blood clot, without the presence of microorganisms. It is often related with tumors and chronic inflammatory states. We report a 49 years old female with a history of weight loss and asthenia, presenting with multiple cerebrovascular attacks and fever. Blood cultures were negative and the fever did not subside with antibiotic treatment. Trans esophageal echocardiogram showed a mitral valve vegetation and thickening of the free edge of both leaflets. In search of the etiology of such a case, a primary pancreatic cancer with distant metastases was found. We cannot rule out the differential diagnosis with bacterial endocarditis with negative blood cultures, although the clinical context supports a non-infectious etiology.",0,895
177,"The case concerns a 20 year-old woman with a sudden visual loss in her left eye. In the fundus examination, a focal pre-retinal haemorrhage was observed in the superior temporal vascular branch with accompanying vitreous haemorrhage. There was a favourable spontaneous outcome. Eighteen months later, she presented with a new visual loss in the same eye, showing a sub-hyaloid pre-macular haemorrhage that was satisfactorily drained by hyaloidotomy using a Nd-YAG laser. The patient had also presented with an upper digestive tract haemorrhage and menorrhagia. A haemostasis study was performed that showed a coagulation factor VII deficiency. This is a very uncommon disorder that has not been previously described in association with the appearance of pre-retinal haemorrhages.",0,779
178,"Hypertriglyceridemia is common in children with systemic lupus erythematosus (SLE). A retrospective analysis of the baseline clinical-pathological presentation and treatment outcome (status of lipid profiles) was performed in two children with SLE, who presented with extreme hypertriglyceridemia over a follow-up period of four weeks. The children were treated with prednisolone, mycophenolate mofetil (MMF), hydroxychloroquine and hypolipidemic agents, depending on their disease status. On serial follow-up, the first child showed a significantly raised serum triglyceride level after receiving one week of oral prednisolone therapy. Anti-lipoprotein-lipase (LPL) autoantibody was absent. Lipid profile levels of this child gradually improved after replacing oral prednisolone with another immunosuppressant, namely MMF. The second child presented with extreme hypertriglyceridemia with positive anti-LPL autoantibody. She responded to plasmapheresis followed by increasing the dose of immunosuppressant. So, extreme hypertriglyceridemia in children with SLE may be steroid induced or due to presence of anti-LPL auto antibody. Management should be individualized depending on the etiology.",0,1193
179,"INTRODUCTION: Posterior interosseous nerve syndrome, a branch of the radial nerve at the level of the forearm, is characterized by the motor function loss of some or all of the muscles innervated distally. CLINICAL CASE: A 26-year-old male with a history of proximal radius fracture associated to radial nerve injury, treated with osteosynthesis 7 years earlier, with full recovery, who currently presented intense pain 4 cm distal to the radial head, accompanied by paralysis of Extensor pollicis longus, Extesnor pollicis brevis and Abductor pollicis longus, with paresis of the Extensor indicis propius, in which a diagnosis of entrapment syndrome of the anterior descending branch of the posterior interosseous nerve (SNIP) was performed. DISCUSSION: The conservative management of SNIP is indicated during the first 8-12 weeks, if no improvement is found, the indication for surgical exploration is indicated, and the removal of osteosynthesis material is controversial.",0,975
180,"CASES REPORT: Two patients presented with headache and bilateral papillary edema. Patient 1 was found to have a papilledema (P) with intracranial pressure of 32cmH2O. Patient 2 was found to have a migraine with a pseudopapilledema (PP) (optic nerve head drusen). SD-OCT was used to image the optic disc, subretinal hypore fl ective space (SHS), and alpha-angle (Aalpha). DISCUSSION: Optic disc SD-OCT may be useful for differentiating disc morphology in P and PP. The area of the SHS and the Aalpha were higher in the P patient than in the patient with PP.",0,556
181,"CLINICAL CASE: A 33-year-old male diagnosed with Parinaud's syndrome, exotropia and post-papillary oedema optic atrophy in his left eye. A pineal germinoma was diagnosed after performing neuroimaging scans and a stereotactic biopsy. He was treated with chemotherapy and radiotherapy, showing a complete pathological response. The Parinaud's syndrome persists one year after diagnosis and the patient has refused to have strabismus surgery. DISCUSSION: Parinaud's syndrome consists of a supranuclear vertical gaze palsy resulting from damage to the midbrain tectum. The involvement of adjacent structures leads to the <<Parinaud-plus>> syndrome. When a Parinaud's syndrome is accompanied by diplopia (<<Parinaud-plus>> syndrome), extension of the injury into adjacent areas must be considered.",0,792
182,"This article describes the pathological studies of fatal severe acute respiratory syndrome (SARS) in a 73-year-old man during an outbreak of SARS in Taiwan, 2003. Eight days before onset of symptoms, he visited a municipal hospital that was later identified as the epicenter of a large outbreak of SARS. On admission to National Taiwan University Hospital in Taipei, the patient experienced chest tightness, progressive dyspnea, and low-grade fever. His condition rapidly deteriorated with increasing respiratory difficulty, and he died 7 days after admission. The most prominent histopathologic finding was diffuse alveolar damage of the lung. Immunohistochemical and in situ hybridization assays demonstrated evidence of SARS-associated coronavirus (SARS-CoV) infection in various respiratory epithelial cells, predominantly type II pneumocytes, and in alveolar macrophages in the lung. Electron microscopic examination also revealed coronavirus particles in the pneumocytes, and their identity was confirmed as SARS-CoV by immunogold labeling electron microscopy. This report is the first to describe the cellular localization of SARS-CoV in human lung tissue by using a combination of immunohistochemistry, double-stain immunohistochemistry, in situ hybridization, electron microscopy, and immunogold labeling electron microscopy. These techniques represent valuable laboratory diagnostic modalities and provide insights into the pathogenesis of this emerging infection.",1,1474
183,"Arterial pseudoaneurysm of the lower limb is an infrequent entity, particularly in the infrapopliteal segment. It is commonly associated to vascular repairs or follows a localized arterial lesion, a fracture or a surgical procedure. There is little information in Mexico about this entity in cases involving the anterior tibial artery, and secondary to trauma and osteosynthesis. Given that sudden bleeding due to rupture of the pseudoaneurysm is a possible catastrophic outcome for the viability of the segment, it is important to timely detect and diagnose the pseudoaneurysm. Treatment indications contained in the international literature are controversial. Solution-oriented approaches may be either surgical or endovascular. Current reports show that the best treatment option is an autologous saphenous vein graft, which maintains blood flow and minimizes the risk of peripheral ischemia. The purpose of this paper is to report the case of a patient who sustained the above mentioned complication and provide a literature review. This topic should be further investigated, as this condition may go unnoticed in a large number of cases, given that its symptoms are silent.",0,1178
184,"Symptomatic cobalt toxicity from a failed total hip replacement is a rare, but devastating complication. Potential clinical findings include cardiomyopathy, hypothyroidism, skin rash, visual and hearing impairment, polycythaemia, weakness, fatigue, cognitive impairment, and neuropathy. The case is presented of a 74year-old man in whom, after a ceramic-ceramic replacement and two episodes of prosthetic dislocation, it was decided to replace it with a polyethylene-metal total hip arthroplasty (THA). At 6months after the revision he developed symptoms of cobalt toxicity, confirmed by analytical determination (serum cobalt level=651.2mug/L). After removal of the prosthesis, the levels of chromium and cobalt in blood and urine returned to normal, with the patient currently being asymptomatic. It is recommended to use a new ceramic on ceramic bearing at revision, in order to minimise the risk of wear-related cobalt toxicity following breakage of ceramic components.",0,973
185,"Acute hepatitis due to the hepatitis A virus usually has a short, benign and self-limited course, without causing chronic hepatitis. However, some cases have an atypical presentation, such as relapsing hepatitis, prolonged or persistent cholestasis, fulminant hepatic failure, or liver failure associated with autoimmune hepatitis. The typical clinical course of acute hepatitis A virus infection is spontaneous remission in 90% of the cases, but atypical cases have a prevalence that varies from less than 1 to 20%, depending on the manifestation (overall prevalence approximately 7%). There is little information on the atypical clinical courses of hepatitis A virus infection and the lack of recognizing those presentations in clinical practice often results in carrying out numerous studies and treatments that not only are unnecessary, but can also be harmful. The aim of the present article was to describe 3 clinical cases of atypical hepatitis A infection and provide a literature review of such cases.",0,1010
